Country,Talent,Total Score
United States of America,100.00,100.00
China,16.51,62.92
United Kingdom,39.65,40.93
Canada,31.28,40.19
Israel,35.76,39.89
Singapore,39.38,38.67
South Korea,14.54,38.60
The Netherlands,33.83,36.35
Germany,27.63,36.04
France,28.32,34.42
Australia,25.43,33.86
Ireland,29.93,33.04
Finland,24.99,31.36
Denmark,27.07,30.87
Luxembourg,21.66,30.73
Japan,15.18,30.53
India,45.27,30.36
Switzerland,25.63,30.25
Sweden,28.21,29.85
Hong Kong,17.56,29.11
Spain,17.61,26.95
Austria,16.97,26.89
Estonia,18.74,26.60
Taiwan,12.34,25.79
Norway,27.61,25.77
Saudi Arabia,4.49,25.60
Belgium,15.17,25.52
Poland,14.21,25.20
Slovenia,13.02,25.19
New Zealand,23.3,24.88
Italy,11.09,24.45
Russia,12.46,21.99
Malta,15.87,21.85
United Arab Emirates,2.65,21.17
Portugal,13.43,20.89
Czech Republic,11.11,20.31
Iceland,18.45,19.81
Lithuania,14.30,19.59
Brazil,13.46,18.89
Greece,7.62,17.33
Slovakia,8.55,17.24
Hungary,10.34,17.00
Malaysia,10.44,16.66
Mexico,1.72,15.48
Chile,10.56,15.33
Argentina,8.40,15.24
Qatar,0.00,14.66
Turkey,8.49,14.39
Colombia,4.97,13.85
Uruguay,7.28,13.27
Bahrain,4.99,11.79
Vietnam,6.34,11.62
Indonesia,5.51,11.47
Tunisia,8.94,9.87
South Africa,4.61,9.71
Morocco,3.36,8.87
Armenia,6.69,8.49
Sri Lanka,6.27,6.62
Egypt,1.11,4.83
Kenya,0.75,2.3
Nigeria,2.74,1.38
Pakistan,8,0.00
